Sn,System,Sub System,Project Number,Sub Contract,Building Number,Floor,Drawing Zone,Discipline,Sub Discipline,Drawing Stage,DN,Column1,Title,21,Review Time Days,Review Time Overdue,25,S_Date,27,28,C_Date,292,Drawing Submission Status,By2,Aref_0,Asub_0,Asub_02,Asub_03,Jvref_0,Jvc_0,Jvcd_0,Cmac_0,Aref_1,Asub_1,Jvref_1,Jvc_1,Jvcd_1,Cmac_1,Aref_2,Asub_2,Jvref_2,Jvc_2,Jvcd_2,Cmac_2,Aref_3,Asub_3,Jvref_3,Jvc_3,Jvcd_3,Cmac_3,Aref_4,Asub_4,Jvref_4,Jvc_4,Jvcd_4,Cmac_4,Aref_5,Asub_5,Jvref_5,Jvc_5,Jvcd_5,Cmac_5,Aref_6,Asub_6,Jvref_6,Jvc_6,Jvcd_6,Cmac_6,Aref_7,Asub_7,Jvref_7,Jvc_7,Jvcd_7,Cmac_7
397,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,4.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-04-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-04,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
398,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,5.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-05-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-05,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
399,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,6.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-06-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-06,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
400,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,7.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-07-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-07,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
401,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,8.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-08-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-08,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
402,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,9.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-09-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-09,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
403,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,10.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-10-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-10,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
404,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,11.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-11-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-11,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
405,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,12.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-12-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-12,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
406,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,13.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-13-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-13,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
407,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,14.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-14-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-14,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
408,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,FF,15.0,ICT,PAS,SD,0,1300403-ATS-B01-FF-15-ICT-PAS-SD-00,First Floor Public Address And Mass Notification System Plan Part-15,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
409,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,0.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-00-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification Overall System Plan,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
410,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,1.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-01-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-01,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
411,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,2.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-02-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-02,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
412,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,3.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-03-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-03,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
413,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,4.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-04-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-04,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
414,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,5.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-05-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-05,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
415,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,6.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-06-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-06,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
416,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,7.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-07-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-07,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
417,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,8.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-08-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-08,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
418,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,9.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-09-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-09,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
419,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,10.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-10-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-10,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
420,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,11.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-11-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-11,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
421,ICT,SOUND MANAGEMENT SYSTEM,1300403,ATS,B01,MZ,12.0,ICT,PAS,SD,0,1300403-ATS-B01-MZ-12-ICT-PAS-SD-00,Mezzanine Floor Public Address And Mass Notification System Plan Part-12,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
422,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,0.0,ICT,COM,SD,0,1300403-ATS-B01-BF-00-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment Overall System Plan,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
423,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,1.0,ICT,COM,SD,0,1300403-ATS-B01-BF-01-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-01,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
424,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,2.0,ICT,COM,SD,0,1300403-ATS-B01-BF-02-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-02,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
425,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,3.0,ICT,COM,SD,0,1300403-ATS-B01-BF-03-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-03,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
426,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,4.0,ICT,COM,SD,0,1300403-ATS-B01-BF-04-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-04,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
427,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,5.0,ICT,COM,SD,0,1300403-ATS-B01-BF-05-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-05,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
428,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,6.0,ICT,COM,SD,0,1300403-ATS-B01-BF-06-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-06,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
429,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,7.0,ICT,COM,SD,0,1300403-ATS-B01-BF-07-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-07,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
430,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,8.0,ICT,COM,SD,0,1300403-ATS-B01-BF-08-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-08,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
431,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,9.0,ICT,COM,SD,0,1300403-ATS-B01-BF-09-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-09,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
432,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,10.0,ICT,COM,SD,0,1300403-ATS-B01-BF-10-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-10,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
433,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,11.0,ICT,COM,SD,0,1300403-ATS-B01-BF-11-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-11,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
434,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,BF,12.0,ICT,COM,SD,0,1300403-ATS-B01-BF-12-ICT-COM-SD-00,Basement Communication Eqpmnt Equipment System Plan Part-12,,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00036-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00036-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
435,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,0.0,ICT,COM,SD,0,1300403-ATS-B01-GF-00-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment Overall System Plan(Arrival Level),2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
436,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,1.0,ICT,COM,SD,0,1300403-ATS-B01-GF-01-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-01,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
437,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,2.0,ICT,COM,SD,0,1300403-ATS-B01-GF-02-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-02,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
438,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,3.0,ICT,COM,SD,0,1300403-ATS-B01-GF-03-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-03,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
439,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,4.0,ICT,COM,SD,0,1300403-ATS-B01-GF-04-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-04,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
440,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,5.0,ICT,COM,SD,0,1300403-ATS-B01-GF-05-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-05,2025-05-18,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
441,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,6.0,ICT,COM,SD,0,1300403-ATS-B01-GF-06-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-06,2025-05-18,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
442,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,7.0,ICT,COM,SD,0,1300403-ATS-B01-GF-07-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-07,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
443,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,8.0,ICT,COM,SD,0,1300403-ATS-B01-GF-08-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-08,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
444,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,9.0,ICT,COM,SD,0,1300403-ATS-B01-GF-09-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-09,2025-05-18,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
445,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,10.0,ICT,COM,SD,0,1300403-ATS-B01-GF-10-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-10,2025-05-18,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
446,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,11.0,ICT,COM,SD,0,1300403-ATS-B01-GF-11-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-11,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
447,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,12.0,ICT,COM,SD,0,1300403-ATS-B01-GF-12-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-12,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
448,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,13.0,ICT,COM,SD,0,1300403-ATS-B01-GF-13-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-13,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
449,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,14.0,ICT,COM,SD,0,1300403-ATS-B01-GF-14-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-14,,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
450,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,GF,15.0,ICT,COM,SD,0,1300403-ATS-B01-GF-15-ICT-COM-SD-00,Ground Floor Communication Eqpmnt Equipment System Plan Part-15,2025-05-18,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
451,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,FF,0.0,ICT,COM,SD,0,1300403-ATS-B01-FF-00-ICT-COM-SD-00,First Floor Communication Eqpmnt Equipment Overall System Plan (Departure Level),2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00037-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00037-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
452,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,FF,1.0,ICT,COM,SD,0,1300403-ATS-B01-FF-01-ICT-COM-SD-00,First Floor Communication Eqpmnt Equipment System Plan Part-01,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00037-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00037-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
453,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,FF,2.0,ICT,COM,SD,0,1300403-ATS-B01-FF-02-ICT-COM-SD-00,First Floor Communication Eqpmnt Equipment System Plan Part-02,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00037-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00037-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
454,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,FF,3.0,ICT,COM,SD,0,1300403-ATS-B01-FF-03-ICT-COM-SD-00,First Floor Communication Eqpmnt Equipment System Plan Part-03,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00037-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00037-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
455,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B01,FF,4.0,ICT,COM,SD,0,1300403-ATS-B01-FF-04-ICT-COM-SD-00,First Floor Communication Eqpmnt Equipment System Plan Part-04,2025-06-11,,,0.0,1970-01-01 00:00:00.000045812,ATLS-004-SD-ICT-00037-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00037-R00,2025-06-04,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
