Sn,System,Sub System,Project Number,Sub Contract,Building Number,Floor,Drawing Zone,Discipline,Sub Discipline,Drawing Stage,DN,Column1,Title,21,Review Time Days,Review Time Overdue,25,S_Date,27,28,C_Date,292,Drawing Submission Status,By2,Aref_0,Asub_0,Asub_02,Asub_03,Jvref_0,Jvc_0,Jvcd_0,Cmac_0,Aref_1,Asub_1,Jvref_1,Jvc_1,Jvcd_1,Cmac_1,Aref_2,Asub_2,Jvref_2,Jvc_2,Jvcd_2,Cmac_2,Aref_3,Asub_3,Jvref_3,Jvc_3,Jvcd_3,Cmac_3,Aref_4,Asub_4,Jvref_4,Jvc_4,Jvcd_4,Cmac_4,Aref_5,Asub_5,Jvref_5,Jvc_5,Jvcd_5,Cmac_5,Aref_6,Asub_6,Jvref_6,Jvc_6,Jvcd_6,Cmac_6,Aref_7,Asub_7,Jvref_7,Jvc_7,Jvcd_7,Cmac_7
774,ICT,VIDEO SURVELLIANCE SYSTEM,1300403,ATS,B01,MZ,10.0,ICT,SEC,SD,0,1300403-ATS-B01-MZ-10-ICT-SEC-SD-00,Mezzanine Floor Video Survelliance System Plan Part-10,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
775,ICT,VIDEO SURVELLIANCE SYSTEM,1300403,ATS,B01,MZ,11.0,ICT,SEC,SD,0,1300403-ATS-B01-MZ-11-ICT-SEC-SD-00,Mezzanine Floor Video Survelliance System Plan Part-11,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
776,ICT,VIDEO SURVELLIANCE SYSTEM,1300403,ATS,B01,MZ,12.0,ICT,SEC,SD,0,1300403-ATS-B01-MZ-12-ICT-SEC-SD-00,Mezzanine Floor Video Survelliance System Plan Part-12,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
777,ICT,VIDEO SURVELLIANCE SYSTEM,1300403,ATS,B01,MZ,13.0,ICT,SEC,SD,0,1300403-ATS-B01-MZ-13-ICT-SEC-SD-00,Mezzanine Floor Video Survelliance System Plan Part-13,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
778,ICT,VIDEO SURVELLIANCE SYSTEM,1300403,ATS,B01,MZ,15.0,ICT,SEC,SD,0,1300403-ATS-B01-MZ-15-ICT-SEC-SD-00,Mezzanine Floor Video Survelliance System Plan Part-15,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
779,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,0.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-00-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication Overall System Plan,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
780,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,1.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-01-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-01,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
781,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,2.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-02-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-02,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
782,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,3.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-03-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-03,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
783,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,6.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-06-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-06,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
784,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,7.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-07-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-07,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
785,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,9.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-09-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-09,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
786,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,10.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-10-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-10,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
787,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,11.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-11-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-11,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
788,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,BF,12.0,ICT,WAP,SD,0,1300403-ATS-B01-BF-12-ICT-WAP-SD-00,Terminal Basement Wireless Lan Communication System Plan Part-12,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
789,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,0.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-00-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication Overall System Plan (Arrival Level),2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
790,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,1.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-01-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-01,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
791,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,2.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-02-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-02,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
792,ICT,WIRELESS LAN COMMUNICATION SYSTEM,1300403,ATS,B01,GF,3.0,ICT,WAP,SD,0,1300403-ATS-B01-GF-03-ICT-WAP-SD-00,Ground Floor Wireless Lan Communication System Plan Part-03,2025-06-06,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
